target,series,experiment,checkpoint,epoch,step,mAP,Rank-1,Rank-5,Rank-10,status,source
LTCC,ltcc_archive_v1.0.0,LTCC archived v1.0.0 curve,archived_epoch_003,3,,4.2,9.3,24.5,35.3,passed,experiments/reid/ltcc/archives/v1.0.0_20251120_083952/results/metrics.json
LTCC,ltcc_archive_v1.0.0,LTCC archived v1.0.0 curve,archived_epoch_004,4,,10.5,22.5,42.0,51.1,passed,experiments/reid/ltcc/archives/v1.0.0_20251120_083952/results/metrics.json
LTCC,ltcc_archive_v1.0.0,LTCC archived v1.0.0 curve,archived_epoch_005,5,,16.3,34.9,55.6,63.1,passed,experiments/reid/ltcc/archives/v1.0.0_20251120_083952/results/metrics.json
LTCC,ltcc_archive_v1.0.0,LTCC archived v1.0.0 curve,archived_epoch_006,6,,22.3,45.8,62.1,71.8,passed,experiments/reid/ltcc/archives/v1.0.0_20251120_083952/results/metrics.json
LTCC,ltcc_archive_v1.0.0,LTCC archived v1.0.0 curve,archived_epoch_007,7,,25.5,52.3,67.7,73.6,passed,experiments/reid/ltcc/archives/v1.0.0_20251120_083952/results/metrics.json
LTCC,ltcc_archive_v1.0.0,LTCC archived v1.0.0 curve,archived_epoch_008,8,,28.7,55.6,73.4,78.9,passed,experiments/reid/ltcc/archives/v1.0.0_20251120_083952/results/metrics.json
LTCC,ltcc_archive_v1.0.0,LTCC archived v1.0.0 curve,archived_epoch_009,9,,31.2,61.5,73.8,79.9,passed,experiments/reid/ltcc/archives/v1.0.0_20251120_083952/results/metrics.json
LTCC,ltcc_archive_v1.0.0,LTCC archived v1.0.0 curve,archived_epoch_010,10,,33.4,63.1,77.9,82.6,passed,experiments/reid/ltcc/archives/v1.0.0_20251120_083952/results/metrics.json
LTCC,ltcc_archive_v1.0.0,LTCC archived v1.0.0 curve,archived_epoch_011,11,,30.9,58.4,75.5,81.9,passed,experiments/reid/ltcc/archives/v1.0.0_20251120_083952/results/metrics.json
LTCC,ltcc_archive_v1.0.0,LTCC archived v1.0.0 curve,archived_epoch_012,12,,34.3,64.5,78.9,84.6,passed,experiments/reid/ltcc/archives/v1.0.0_20251120_083952/results/metrics.json
LTCC,ltcc_archive_v1.0.0,LTCC archived v1.0.0 curve,archived_epoch_013,13,,35.5,68.6,80.3,85.4,passed,experiments/reid/ltcc/archives/v1.0.0_20251120_083952/results/metrics.json
LTCC,ltcc_archive_v1.0.0,LTCC archived v1.0.0 curve,archived_epoch_014,14,,34.9,65.7,79.5,85.0,passed,experiments/reid/ltcc/archives/v1.0.0_20251120_083952/results/metrics.json
LTCC,ltcc_archive_v1.0.0,LTCC archived v1.0.0 curve,archived_epoch_015,15,,35.6,66.5,79.7,83.6,passed,experiments/reid/ltcc/archives/v1.0.0_20251120_083952/results/metrics.json
LTCC,ltcc_archive_v1.0.0,LTCC archived v1.0.0 curve,archived_epoch_016,16,,36.6,70.4,80.1,84.8,passed,experiments/reid/ltcc/archives/v1.0.0_20251120_083952/results/metrics.json
LTCC,ltcc_archive_v1.0.0,LTCC archived v1.0.0 curve,archived_epoch_017,17,,36.5,69.6,78.9,83.8,passed,experiments/reid/ltcc/archives/v1.0.0_20251120_083952/results/metrics.json
LTCC,ltcc_archive_v1.0.0,LTCC archived v1.0.0 curve,archived_epoch_018,18,,36.5,71.8,80.9,85.0,passed,experiments/reid/ltcc/archives/v1.0.0_20251120_083952/results/metrics.json
LTCC,ltcc_archive_v1.0.0,LTCC archived v1.0.0 curve,archived_epoch_019,19,,35.9,70.0,80.1,85.8,passed,experiments/reid/ltcc/archives/v1.0.0_20251120_083952/results/metrics.json
LTCC,ltcc_archive_v1.0.0,LTCC archived v1.0.0 curve,archived_epoch_020,20,,36.8,71.4,81.3,86.4,passed,experiments/reid/ltcc/archives/v1.0.0_20251120_083952/results/metrics.json
LTCC,ltcc_archive_v1.0.0,LTCC archived v1.0.0 curve,archived_epoch_021,21,,36.4,70.0,80.1,86.6,passed,experiments/reid/ltcc/archives/v1.0.0_20251120_083952/results/metrics.json
LTCC,ltcc_archive_v1.0.0,LTCC archived v1.0.0 curve,archived_epoch_022,22,,36.9,70.8,81.1,83.8,passed,experiments/reid/ltcc/archives/v1.0.0_20251120_083952/results/metrics.json
LTCC,ltcc_archive_v1.0.0,LTCC archived v1.0.0 curve,archived_epoch_023,23,,37.2,70.4,80.5,84.8,passed,experiments/reid/ltcc/archives/v1.0.0_20251120_083952/results/metrics.json
LTCC,ltcc_archive_v1.0.0,LTCC archived v1.0.0 curve,archived_epoch_024,24,,37.6,72.2,81.5,84.0,passed,experiments/reid/ltcc/archives/v1.0.0_20251120_083952/results/metrics.json
LTCC,ltcc_archive_v1.0.0,LTCC archived v1.0.0 curve,archived_epoch_025,25,,37.3,71.6,82.6,85.6,passed,experiments/reid/ltcc/archives/v1.0.0_20251120_083952/results/metrics.json
LTCC,ltcc_archive_v1.0.0,LTCC archived v1.0.0 curve,archived_epoch_026,26,,37.0,70.6,79.9,85.0,passed,experiments/reid/ltcc/archives/v1.0.0_20251120_083952/results/metrics.json
LTCC,ltcc_archive_v1.0.0,LTCC archived v1.0.0 curve,archived_epoch_027,27,,37.1,71.4,81.1,85.0,passed,experiments/reid/ltcc/archives/v1.0.0_20251120_083952/results/metrics.json
LTCC,ltcc_archive_v1.0.0,LTCC archived v1.0.0 curve,archived_epoch_028,28,,37.1,70.2,81.1,84.8,passed,experiments/reid/ltcc/archives/v1.0.0_20251120_083952/results/metrics.json
LTCC,ltcc_archive_v1.0.0,LTCC archived v1.0.0 curve,archived_epoch_029,29,,36.7,71.6,80.7,85.2,passed,experiments/reid/ltcc/archives/v1.0.0_20251120_083952/results/metrics.json
LTCC,ltcc_archive_v1.0.0,LTCC archived v1.0.0 curve,archived_epoch_030,30,,37.1,69.6,79.3,83.6,passed,experiments/reid/ltcc/archives/v1.0.0_20251120_083952/results/metrics.json
LTCC,ltcc_archive_v1.0.0,LTCC archived v1.0.0 curve,archived_epoch_031,31,,36.0,71.0,80.7,85.0,passed,experiments/reid/ltcc/archives/v1.0.0_20251120_083952/results/metrics.json
LTCC,ltcc_archive_v1.0.0,LTCC archived v1.0.0 curve,archived_epoch_032,32,,36.5,71.4,80.9,85.4,passed,experiments/reid/ltcc/archives/v1.0.0_20251120_083952/results/metrics.json
LTCC,ltcc_archive_v1.0.0,LTCC archived v1.0.0 curve,archived_epoch_033,33,,36.2,70.6,79.7,84.2,passed,experiments/reid/ltcc/archives/v1.0.0_20251120_083952/results/metrics.json
LTCC,ltcc_archive_v1.0.0,LTCC archived v1.0.0 curve,archived_epoch_034,34,,36.7,72.2,81.1,84.8,passed,experiments/reid/ltcc/archives/v1.0.0_20251120_083952/results/metrics.json
LTCC,ltcc_archive_v1.0.1,LTCC archived v1.0.1 curve,archived_epoch_001,1,,8.7,30.6,51.1,61.3,passed,experiments/reid/ltcc/archives/v1.0.1_20251120_104004/results/metrics.json
